id,embedding,project_text,Added count,Adjusted Function Points,Application Group,Application Type,Development Methodologies,Development Platform,Development Techniques,Development Type,Enquiry count,File count,Functional Size,ISBSG Project ID,Industry Sector,Input count,Interface count,Max Team Size,Normalised Work Effort,Organisation Type,Output count,Primary Programming Language,Project Activity Scope,Sprints / iterations,Year of Project
5996,"[-0.0239355   0.06226249 -0.00957755 ... -0.01624494 -0.00880598
 -0.0048349 ]","A Government industry project was developed by a Telecommunications organization. The project falls under the 'Business Application' category, specifically as a 'Database System' application. It was an Enhancement project, developed on a PC platform using Net as the primary programming language.

The functional size of the project was 285.0 function points, with an adjusted function size of 285.0 function points. The normalized work effort for the project was 2195.0 person-hours.

The scope of activities included Design, Build, Test, Scrum Master (No Requirements and No Implementation). The maximum team size reached 3 members. The project followed the Agile Development methodology, utilizing development techniques such as Business Area Modelling, Prototyping, Data Modelling, Object Oriented.

The project was completed in 10 sprint(s). It involved 76 inputs, 65 outputs, 33 enquiries, 45 files, and 6 interfaces. A total of 175 new elements were added to the system.",174.87745098039215,285.0,Business Application,Database System;,Agile Development;,PC,Business Area Modelling;Prototyping;Data Modelling;Object Oriented;,Enhancement,33.08888888888889,45.48888888888889,285.0,44282,Government,75.64444444444445,5.933333333333334,3.4,2195.0,Telecommunications;,65.4,.Net,"Design, Build, Test, Scrum Master (No Requirements and No Implementation);",10.0,2023
4882,"[-0.02428935  0.05047658 -0.01075457 ... -0.01596538  0.00111437
 -0.00407042]","A Communication industry project was developed by a Communications organization. The project falls under the 'Business Application' category, specifically as a 'Billing' application. It was an Enhancement project, developed on a PC platform using Java as the primary programming language.

The functional size of the project was 4.0 function points, with an adjusted function size of 448.84973554361267 function points. The normalized work effort for the project was 3780.45904770735 person-hours.

The scope of activities included Planning, Specification, Design, Build, Test, Implement, Proj Management. The maximum team size reached 14 members. The project followed the Agile Development methodology, utilizing development techniques such as Business Area Modelling, Prototyping, Data Modelling, Object Oriented.

The project was completed in 6 sprint(s). It involved 76 inputs, 65 outputs, 33 enquiries, 45 files, and 6 interfaces. A total of 175 new elements were added to the system.",174.87745098039215,448.84973554361267,Business Application,Billing;,Agile Development;,PC,Business Area Modelling;Prototyping;Data Modelling;Object Oriented;,Enhancement,33.08888888888889,45.48888888888889,4.0,34865,Communication,75.64444444444445,5.933333333333334,13.957282568122436,3780.45904770735,Communications;,65.4,Java,Planning;Specification;Design;Build;Test;Implement;Proj Management;,6.685359589041096,2016
2955,"[-0.03189812  0.05875189 -0.00702665 ... -0.02494153  0.00533284
 -0.01668264]","A Insurance industry project was developed by a Insurance organization. The project falls under the 'Business Application' category, specifically as a 'Unknown' application. It was an Enhancement project, developed on a PC platform using PL/SQL as the primary programming language.

The functional size of the project was 60.0 function points, with an adjusted function size of 60.0 function points. The normalized work effort for the project was 130.0 person-hours.

The scope of activities included Design, Build, Test, Implement. The maximum team size reached 14 members. The project followed the Waterfall (incl Linear Processing & SSADM) methodology, utilizing development techniques such as Business Area Modelling, Data Modelling, Object Oriented, Prototyping.

The project was completed in 1 sprint(s). It involved 76 inputs, 65 outputs, 33 enquiries, 45 files, and 6 interfaces. A total of 175 new elements were added to the system.",174.87745098039215,60.0,Business Application,Unknown;,Waterfall (incl Linear Processing & SSADM);,PC,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,Enhancement,33.08888888888889,45.48888888888889,60.0,24781,Insurance,75.64444444444445,5.933333333333334,13.957282568122436,130.0,Insurance;,65.4,PL/SQL,Design;Build;Test;Implement;,1.0,2014
2303,"[-0.02893648  0.05827719 -0.01184913 ... -0.02358036 -0.00744466
 -0.00350758]","A Government industry project was developed by a Government organization. The project falls under the 'Business Application' category, specifically as a 'Customer relationship management' application. It was an Enhancement project, developed on a PC platform using Java as the primary programming language.

The functional size of the project was 234.0 function points, with an adjusted function size of 234.0 function points. The normalized work effort for the project was 2462.0 person-hours.

The scope of activities included Plan, Specify, Design, Build, Test, Implement. The maximum team size reached 14 members. The project followed the Agile Development methodology, utilizing development techniques such as Business Area Modelling, Prototyping, Data Modelling, Object Oriented.

The project was completed in 6 sprint(s). It involved 76 inputs, 65 outputs, 33 enquiries, 45 files, and 6 interfaces. A total of 175 new elements were added to the system.",174.87745098039215,234.0,Business Application,Customer relationship management;,Agile Development;,PC,Business Area Modelling;Prototyping;Data Modelling;Object Oriented;,Enhancement,33.08888888888889,45.48888888888889,234.0,21706,Government,75.64444444444445,5.933333333333334,13.957282568122436,2462.0,Government;,65.4,Java,Plan;Specify;Design;Build;Test;Implement;,6.685359589041096,2017
496,"[-0.02523266  0.05178038 -0.01130127 ... -0.01842724 -0.00154314
 -0.00878623]","A Communication industry project was developed by a Communications organization. The project falls under the 'Business Application' category, specifically as a 'Application software' application. It was an Enhancement project, developed on a PC platform using Java as the primary programming language.

The functional size of the project was 360.0 function points, with an adjusted function size of 443.8 function points. The normalized work effort for the project was 3364.0 person-hours.

The scope of activities included Plan, Specify, Design, Build, Test, Implement. The maximum team size reached 4 members. The project followed the Iterative methodology, utilizing development techniques such as Business Area Modelling, Prototyping, Data Modelling, Object Oriented.

The project was completed in 6 sprint(s). It involved 76 inputs, 65 outputs, 33 enquiries, 45 files, and 6 interfaces. A total of 175 new elements were added to the system.",174.87745098039215,443.8,Business Application,Application software;,Iterative;,PC,Business Area Modelling;Prototyping;Data Modelling;Object Oriented;,Enhancement,33.08888888888889,45.48888888888889,360.0,12576,Communication,75.64444444444445,5.933333333333334,4.0,3364.0,Communications;,65.4,Java,Plan;Specify;Design;Build;Test;Implement;,6.685359589041096,2011
2860,"[-0.0209752   0.06072916 -0.01022772 ... -0.0198183  -0.00560848
  0.00150167]","A Government industry project was developed by a Government organization. The project falls under the 'Business Application' category, specifically as a 'Customer relationship management' application. It was an New development project, developed on a PC platform using Drupal as the primary programming language.

The functional size of the project was 234.0 function points, with an adjusted function size of 448.84973554361267 function points. The normalized work effort for the project was 215.0 person-hours.

The scope of activities included Planning, Specification, Design, Build, Test, Implement, Proj Management. The maximum team size reached 14 members. The project followed the Agile Development methodology, utilizing development techniques such as Business Area Modelling, Prototyping, Data Modelling, Object Oriented.

The project was completed in 6 sprint(s). It involved 76 inputs, 65 outputs, 33 enquiries, 45 files, and 6 interfaces. A total of 175 new elements were added to the system.",174.87745098039215,448.84973554361267,Business Application,Customer relationship management;,Agile Development;,PC,Business Area Modelling;Prototyping;Data Modelling;Object Oriented;,New development,33.08888888888889,45.48888888888889,234.0,24356,Government,75.64444444444445,5.933333333333334,13.957282568122436,215.0,Government;,65.4,Drupal,Planning;Specification;Design;Build;Test;Implement;Proj Management;,6.685359589041096,2011
1174,"[-0.02721641  0.065799   -0.00785531 ... -0.02074492  0.00407753
 -0.01847825]","A Insurance industry project was developed by a Insurance organization. The project falls under the 'Business Application' category, specifically as a 'Unknown' application. It was an Enhancement project, developed on a PC platform using Java as the primary programming language.

The functional size of the project was 54.0 function points, with an adjusted function size of 54.0 function points. The normalized work effort for the project was 221.0 person-hours.

The scope of activities included Design, Build, Test, Implement. The maximum team size reached 14 members. The project followed the Waterfall (incl Linear Processing & SSADM) methodology, utilizing development techniques such as Business Area Modelling, Data Modelling, Object Oriented, Prototyping.

The project was completed in 1 sprint(s). It involved 76 inputs, 65 outputs, 33 enquiries, 45 files, and 6 interfaces. A total of 175 new elements were added to the system.",174.87745098039215,54.0,Business Application,Unknown;,Waterfall (incl Linear Processing & SSADM);,PC,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,Enhancement,33.08888888888889,45.48888888888889,54.0,15996,Insurance,75.64444444444445,5.933333333333334,13.957282568122436,221.0,Insurance;,65.4,Java,Design;Build;Test;Implement;,1.0,2014
3135,"[-0.01923813  0.07230529 -0.0076457  ... -0.02608936 -0.00830349
 -0.01011454]","A Government industry project was developed by a Government organization. The project falls under the 'Business Application' category, specifically as a 'Financial transaction process/accounting;Management or performance reporting;Customer billing' application. It was an New Development project, developed on a MF platform using PL/I as the primary programming language.

The functional size of the project was 303.0 function points, with an adjusted function size of 303.0 function points. The normalized work effort for the project was 8490.0 person-hours.

The scope of activities included Planning, Specification, Design, Build, Test, Implement, Proj Management. The maximum team size reached 13 members. The project followed the Agile Development methodology, utilizing development techniques such as Data Modelling, Process Modelling.

The project was completed in 6 sprint(s). It involved 97 inputs, 104 outputs, 19 enquiries, 63 files, and 20 interfaces. A total of 303 new elements were added to the system.",303.0,303.0,Business Application,Financial transaction process/accounting;Management or performance reporting;Customer billing;,Agile Development;,MF,Data Modelling;Process Modelling;,New Development,19.0,63.0,303.0,25630,Government,97.0,20.0,13.0,8490.0,Government;,104.0,PL/I,Planning;Specification;Design;Build;Test;Implement;Proj Management;,6.685359589041096,2010
3058,"[-0.04029151  0.07897007 -0.01562949 ... -0.01294393  0.0017057
 -0.0030888 ]","A Retail industry project was developed by a Telecommunications organization. The project falls under the 'Business Application' category, specifically as a 'Financial Transactions' application. It was an Enhancement project, developed on a PC platform using Mendix as the primary programming language.

The functional size of the project was 448.0 function points, with an adjusted function size of 448.0 function points. The normalized work effort for the project was 1038.0 person-hours.

The scope of activities included Design, Build, Test, Scrum Master (No Requirements and No Implementation). The maximum team size reached 2 members. The project followed the Agile Development methodology, utilizing development techniques such as Business Area Modelling, Prototyping, Data Modelling, Object Oriented.

The project was completed in 9 sprint(s). It involved 76 inputs, 65 outputs, 33 enquiries, 45 files, and 6 interfaces. A total of 175 new elements were added to the system.",174.87745098039215,448.0,Business Application,Financial Transactions;,Agile Development;,PC,Business Area Modelling;Prototyping;Data Modelling;Object Oriented;,Enhancement,33.08888888888889,45.48888888888889,448.0,25214,Retail,75.64444444444445,5.933333333333334,1.8,1038.0,Telecommunications;,65.4,Mendix,"Design, Build, Test, Scrum Master (No Requirements and No Implementation);",9.0,2020
4340,"[-0.01445123  0.04598645 -0.00667266 ... -0.02517205 -0.00210971
  0.00010716]","A Manufacturing industry project was developed by a Manufacturing organization. The project falls under the 'Business Application' category, specifically as a 'Factory's process management' application. It was an Enhancement project, developed on a MR platform using Java as the primary programming language.

The functional size of the project was 103.0 function points, with an adjusted function size of 103.0 function points. The normalized work effort for the project was 992.0 person-hours.

The scope of activities included Specification, Design, Build, Test, Implement. The maximum team size reached 14 members. The project followed the Agile Development methodology, utilizing development techniques such as Business Area Modelling, Prototyping, Data Modelling, Object Oriented.

The project was completed in 6 sprint(s). It involved 76 inputs, 65 outputs, 33 enquiries, 45 files, and 6 interfaces. A total of 175 new elements were added to the system.",174.87745098039215,103.0,Business Application,Factory's process management;,Agile Development;,MR,Business Area Modelling;Prototyping;Data Modelling;Object Oriented;,Enhancement,33.08888888888889,45.48888888888889,103.0,31727,Manufacturing,75.64444444444445,5.933333333333334,13.957282568122436,992.0,Manufacturing;,65.4,Java,Specification;Design;Build;Test;Implement;,6.685359589041096,2010
